nome;email;email_corporativo;area;cargo;funcao;localidade;tempo_de_empresa;genero;geracao;n0_empresa;n1_diretoria;n2_gerencia;n3_coordenacao;n4_area;Data da Resposta;Interesse no Cargo;Comentários - Interesse no Cargo;Contribuição;Comentários - Contribuição;Aprendizado e Desenvolvimento;Comentários - Aprendizado e Desenvolvimento;Feedback;Comentários - Feedback;Interação com Gestor;Comentários - Interação com Gestor;Clareza sobre Possibilidades de Carreira;Comentários - Clareza sobre Possibilidades de Carreira;Expectativa de Permanência;Comentários - Expectativa de Permanência;eNPS;[Aberta] eNPS
Demo 077;demo077@pinpeople.com.br;demo077@pinpeople.com.br;comercial;analista;profissional;brasília;entre 1 e 2 anos;feminino;geração z;empresa;diretoria a;gerência a2;coordenação a22;área a221;20/01/2022;6;-;7;-;7;Gostaria de ter um plano de carreira mais claro.;5;-;7;-;3;-;7;-;10;Sinto que a carga de trabalho está afetando minha produtividade.
Demo 078;demo078@pinpeople.com.br;demo078@pinpeople.com.br;financeiro;analista;profissional;são paulo;menos de 1 ano;feminino;geração z;empresa;diretoria a;gerência a2;coordenação a22;área a221;20/01/2022;5;-;7;-;6;-;4;-;6;-;5;-;5;-;7;A empresa valoriza e respeita as contribuições individuais.
Demo 079;demo079@pinpeople.com.br;demo079@pinpeople.com.br;recursos humanos;coordenador;profissional;manaus;entre 1 e 2 anos;outro;geração y;empresa;diretoria a;gerência a2;coordenação a22;área a221;20/01/2022;6;-;6;-;6;-;6;-;3;-;4;-;6;-;8;Gostaria de ver mais iniciativas de treinamento e desenvolvimento.
Demo 080;demo080@pinpeople.com.br;demo080@pinpeople.com.br;tecnologia;coordenador;profissional;brasília;menos de 1 ano;masculino;geração y;empresa;diretoria a;gerência a2;coordenação a22;área a221;20/01/2022;6;-;6;-;7;-;7;-;6;-;2;-;2;-;9;A liderança demonstra empatia e compreensão.
Demo 081;demo081@pinpeople.com.br;demo081@pinpeople.com.br;administrativo;coordenador;profissional;manaus;entre 2 e 5 anos;masculino;geração y;empresa;diretoria a;gerência a2;coordenação a22;área a221;20/01/2022;6;Sinto que meu cargo atual me desafia adequadamente.;6;-;3;-;7;-;4;-;4;Sinto-me confuso sobre como progredir profissionalmente aqui.;2;Considero deixar a empresa se não houver mudanças.;10;Sinto que há pouca transparência nas decisões corporativas.
Demo 082;demo082@pinpeople.com.br;demo082@pinpeople.com.br;comercial;gerente;gestor;manaus;mais de 5 anos;outro;geração x;empresa;diretoria a;gerência a2;coordenação a22;área a221;20/01/2022;1;-;6;-;6;-;6;-;2;Sinto que meu gestor não reconhece minhas conquistas.;3;-;3;-;4;A empresa oferece um ambiente de trabalho inclusivo e diversificado.
Demo 083;demo083@pinpeople.com.br;demo083@pinpeople.com.br;financeiro;gerente;gestor;manaus;menos de 1 ano;masculino;baby boomer;empresa;diretoria a;gerência a2;coordenação a22;área a221;20/01/2022;6;Estou buscando desafios que me tirem da zona de conforto.;6;-;7;-;3;-;6;-;2;-;1;-;8;Gostaria de ter mais oportunidades de participar de projetos estratégicos.
Demo 084;demo084@pinpeople.com.br;demo084@pinpeople.com.br;recursos humanos;coordenador;gestor;manaus;entre 1 e 2 anos;feminino;geração y;empresa;diretoria a;gerência a2;coordenação a22;área a221;20/01/2022;6;-;7;-;6;-;7;O reconhecimento público seria motivador.;7;-;6;-;3;-;10;A cultura da empresa promove a inovação e a melhoria contínua.
Demo 085;demo085@pinpeople.com.br;demo085@pinpeople.com.br;tecnologia;estagiário;profissional;recife;mais de 5 anos;masculino;geração z;empresa;diretoria a;gerência a2;coordenação a22;área a221;20/01/2022;6;Gostaria de explorar áreas relacionadas à minha formação acadêmica.;6;-;5;Sinto que o desenvolvimento é uma prioridade aqui.;7;-;4;-;3;-;1;-;9;Sinto que meu trabalho é impactante e significativo.
Demo 086;demo086@pinpeople.com.br;demo086@pinpeople.com.br;administrativo;estagiário;profissional;recife;menos de 1 ano;masculino;geração z;empresa;diretoria a;gerência a2;coordenação a22;área a221;20/01/2022;5;-;6;-;5;-;4;-;7;-;5;-;5;-;5;A empresa oferece benefícios competitivos e atrativos.
Demo 087;demo087@pinpeople.com.br;demo087@pinpeople.com.br;comercial;analista;profissional;manaus;entre 1 e 2 anos;feminino;geração z;empresa;diretoria a;gerência a2;coordenação a22;área a221;20/01/2022;6;-;7;-;5;-;6;-;4;-;4;-;3;-;10;Gostaria de ver mais iniciativas para melhorar o bem-estar dos funcionários.
Demo 088;demo088@pinpeople.com.br;demo088@pinpeople.com.br;financeiro;analista;profissional;porto alegre;menos de 1 ano;outro;geração z;empresa;diretoria a;gerência a2;coordenação a22;área a222;20/01/2022;6;-;6;-;5;-;5;-;7;-;4;-;5;-;6;A liderança é inspiradora e motivadora.
Demo 089;demo089@pinpeople.com.br;demo089@pinpeople.com.br;recursos humanos;analista;profissional;manaus;entre 1 e 2 anos;outro;geração z;empresa;diretoria a;gerência a2;coordenação a22;área a221;20/01/2022;1;-;1;-;7;-;3;-;7;-;2;-;4;-;10;Sinto que há falta de oportunidades de crescimento na minha área.
Demo 090;demo090@pinpeople.com.br;demo090@pinpeople.com.br;tecnologia;analista;profissional;porto alegre;mais de 5 anos;outro;geração z;empresa;diretoria a;gerência a2;coordenação a22;área a222;20/01/2022;7;-;6;-;7;-;7;-;5;Meu gestor promove um ambiente de confiança.;7;As oportunidades de carreira são bem comunicadas.;4;-;10;A empresa promove um ambiente de trabalho saudável e positivo.
Demo 091;demo091@pinpeople.com.br;demo091@pinpeople.com.br;administrativo;coordenador;profissional;manaus;entre 2 e 5 anos;feminino;geração y;empresa;diretoria a;gerência a2;coordenação a22;área a222;20/01/2022;6;-;6;-;5;-;7;-;4;-;4;-;1;-;8;Gostaria de ter mais clareza nas expectativas de carreira.
Demo 092;demo092@pinpeople.com.br;demo092@pinpeople.com.br;comercial;coordenador;profissional;recife;entre 2 e 5 anos;outro;geração y;empresa;diretoria a;gerência a2;coordenação a22;área a222;20/01/2022;1;-;6;-;5;-;7;Sinto que o feedback é dado apenas quando há críticas.;4;-;7;-;4;-;9;A cultura de feedback é forte e construtiva.
Demo 093;demo093@pinpeople.com.br;demo093@pinpeople.com.br;financeiro;coordenador;profissional;são paulo;menos de 1 ano;outro;geração y;empresa;diretoria a;gerência a2;coordenação a22;área a222;20/01/2022;5;-;7;-;5;-;5;-;7;-;1;-;1;-;10;Sinto que a comunicação interna poderia ser mais eficaz.
Demo 094;demo094@pinpeople.com.br;demo094@pinpeople.com.br;recursos humanos;gerente;gestor;porto alegre;mais de 5 anos;feminino;geração y;empresa;diretoria a;gerência a2;coordenação a22;área a222;20/01/2022;7;-;7;-;6;-;5;-;5;-;3;-;6;A cultura organizacional me incentiva a ficar.;8;A empresa oferece boas oportunidades de desenvolvimento profissional.
Demo 095;demo095@pinpeople.com.br;demo095@pinpeople.com.br;tecnologia;gerente;gestor;manaus;entre 2 e 5 anos;feminino;geração y;empresa;diretoria a;gerência a2;coordenação a22;área a222;20/01/2022;6;-;7;Estou sempre disposto a ajudar colegas em suas tarefas.;5;-;6;-;4;-;7;-;4;-;9;Gostaria de ver mais reconhecimento pelo trabalho bem feito.
Demo 096;demo096@pinpeople.com.br;demo096@pinpeople.com.br;administrativo;diretor;gestor;recife;entre 1 e 2 anos;outro;baby boomer;empresa;diretoria a;gerência a2;coordenação a22;área a222;20/01/2022;7;-;1;-;6;-;6;-;1;-;5;-;5;-;10;A liderança demonstra compromisso com o sucesso da equipe.
Demo 097;demo097@pinpeople.com.br;demo097@pinpeople.com.br;comercial;estagiário;profissional;porto alegre;entre 1 e 2 anos;outro;geração z;empresa;diretoria a;gerência a2;coordenação a22;área a222;20/01/2022;7;-;1;-;5;-;7;-;5;-;5;-;2;-;10;Sinto que há pouca inovação nos projetos atuais.
Demo 098;demo098@pinpeople.com.br;demo098@pinpeople.com.br;financeiro;estagiário;profissional;brasília;menos de 1 ano;masculino;geração z;empresa;diretoria a;gerência a2;coordenação a22;área a222;20/01/2022;6;-;2;Sinto que minhas ideias não são ouvidas adequadamente.;6;-;7;-;6;-;5;-;2;-;8;A empresa valoriza a diversidade e a inclusão.
Demo 099;demo099@pinpeople.com.br;demo099@pinpeople.com.br;recursos humanos;analista;profissional;manaus;mais de 5 anos;outro;geração z;empresa;diretoria a;gerência a2;coordenação a22;área a222;20/01/2022;4;-;5;-;5;-;5;-;6;-;3;-;5;Estou aberto a novas oportunidades, mas valorizo minha posição atual.;9;Gostaria de ter mais oportunidades de liderar iniciativas.
Demo 100;demo100@pinpeople.com.br;demo100@pinpeople.com.br;tecnologia;analista;profissional;manaus;mais de 5 anos;feminino;geração z;empresa;diretoria b;gerência b1;coordenação b11;área b111;20/01/2022;6;-;2;-;6;A empresa oferece excelentes recursos para aprendizagem.;6;-;4;-;7;-;6;-;10;A cultura da empresa promove o equilíbrio entre vida pessoal e profissional.
Demo 101;demo101@pinpeople.com.br;demo101@pinpeople.com.br;administrativo;analista;profissional;manaus;mais de 5 anos;outro;geração z;empresa;diretoria a;gerência a2;coordenação a22;área a222;20/01/2022;7;-;6;-;6;-;5;-;5;-;3;-;3;-;6;Sinto que há falta de suporte para meu desenvolvimento profissional.
Demo 102;demo102@pinpeople.com.br;demo102@pinpeople.com.br;comercial;analista;profissional;manaus;entre 2 e 5 anos;outro;geração z;empresa;diretoria b;gerência b1;coordenação b11;área b111;20/01/2022;7;Estou buscando novos desafios profissionais.;6;-;6;-;5;-;7;-;6;-;2;-;9;A empresa valoriza a transparência e a honestidade.
Demo 103;demo103@pinpeople.com.br;demo103@pinpeople.com.br;financeiro;coordenador;profissional;porto alegre;entre 2 e 5 anos;outro;geração y;empresa;diretoria b;gerência b1;coordenação b11;área b111;20/01/2022;6;-;7;-;6;-;4;-;1;Sinto que há uma falta de comunicação com a liderança.;6;-;3;-;9;Gostaria de ter mais clareza sobre as oportunidades de promoção.
Demo 104;demo104@pinpeople.com.br;demo104@pinpeople.com.br;recursos humanos;coordenador;profissional;porto alegre;mais de 5 anos;outro;geração y;empresa;diretoria b;gerência b1;coordenação b11;área b111;20/01/2022;7;-;6;-;3;-;7;-;6;-;3;-;1;-;10;A liderança incentiva a criatividade e a inovação.
Demo 105;demo105@pinpeople.com.br;demo105@pinpeople.com.br;tecnologia;coordenador;profissional;brasília;entre 1 e 2 anos;feminino;geração y;empresa;diretoria b;gerência b1;coordenação b11;área b111;20/01/2022;2;-;7;Acredito que minha proatividade contribui para os resultados.;2;-;2;-;2;-;2;-;2;-;8;Sinto que meu trabalho é reconhecido e valorizado.
Demo 106;demo106@pinpeople.com.br;demo106@pinpeople.com.br;administrativo;gerente;gestor;recife;entre 1 e 2 anos;outro;geração y;empresa;diretoria b;gerência b1;coordenação b11;área b111;20/01/2022;7;-;7;-;7;-;5;-;6;-;5;-;3;-;2;A empresa oferece bons programas de saúde e bem-estar.
Demo 107;demo107@pinpeople.com.br;demo107@pinpeople.com.br;comercial;gerente;gestor;recife;mais de 5 anos;feminino;geração x;empresa;diretoria b;gerência b1;coordenação b11;área b111;20/01/2022;7;-;6;-;7;-;6;-;4;-;7;-;5;-;8;Gostaria de ver mais iniciativas de responsabilidade social corporativa.
Demo 108;demo108@pinpeople.com.br;demo108@pinpeople.com.br;financeiro;coordenador;gestor;porto alegre;mais de 5 anos;masculino;geração y;empresa;diretoria b;gerência b1;coordenação b11;área b111;20/01/2022;1;-;7;-;6;-;7;-;7;-;2;-;6;-;10;A comunicação entre equipes é eficiente e colaborativa.
Demo 109;demo109@pinpeople.com.br;demo109@pinpeople.com.br;recursos humanos;estagiário;profissional;brasília;mais de 5 anos;feminino;geração z;empresa;diretoria b;gerência b1;coordenação b11;área b111;20/01/2022;3;Tenho interesse em cargos que permitam maior interação com clientes.;6;-;6;-;6;A comunicação sobre desempenho poderia ser mais transparente.;7;Tenho liberdade para expressar minhas opiniões ao gestor.;3;-;4;-;5;Sinto que a carga de trabalho está afetando minha saúde mental.
Demo 110;demo110@pinpeople.com.br;demo110@pinpeople.com.br;tecnologia;estagiário;profissional;são paulo;entre 1 e 2 anos;outro;geração z;empresa;diretoria b;gerência b1;coordenação b11;área b111;20/01/2022;5;-;6;-;7;-;5;-;5;-;7;-;7;-;8;A empresa valoriza e respeita as contribuições individuais.
Demo 111;demo111@pinpeople.com.br;demo111@pinpeople.com.br;administrativo;analista;profissional;brasília;entre 1 e 2 anos;masculino;geração z;empresa;diretoria b;gerência b1;coordenação b11;área b111;20/01/2022;4;-;5;-;6;-;6;-;6;-;6;-;6;-;8;Gostaria de ver mais oportunidades de treinamento e desenvolvimento.
Demo 112;demo112@pinpeople.com.br;demo112@pinpeople.com.br;comercial;analista;profissional;são paulo;mais de 5 anos;feminino;geração z;empresa;diretoria b;gerência b1;coordenação b11;área b111;20/01/2022;6;-;6;-;4;Gostaria de mais treinamentos em habilidades específicas.;6;Aprecio o retorno que meu gestor me dá constantemente.;3;-;6;-;2;-;8;A liderança demonstra empatia e compreensão.
Demo 113;demo113@pinpeople.com.br;demo113@pinpeople.com.br;financeiro;analista;profissional;são paulo;entre 2 e 5 anos;feminino;geração z;empresa;diretoria b;gerência b1;coordenação b11;área b112;20/01/2022;7;-;6;-;7;-;6;-;7;-;6;Gostaria de participar de programas de desenvolvimento de liderança.;1;-;10;Sinto que há pouca transparência nas decisões corporativas.
Demo 114;demo114@pinpeople.com.br;demo114@pinpeople.com.br;recursos humanos;analista;profissional;porto alegre;entre 2 e 5 anos;masculino;geração z;empresa;diretoria b;gerência b1;coordenação b11;área b112;20/01/2022;6;-;7;-;6;-;7;-;4;-;4;-;1;-;9;A empresa oferece um ambiente de trabalho inclusivo e diversificado.
Demo 115;demo115@pinpeople.com.br;demo115@pinpeople.com.br;tecnologia;coordenador;profissional;porto alegre;menos de 1 ano;masculino;geração y;empresa;diretoria b;gerência b1;coordenação b11;área b111;20/01/2022;5;-;7;-;5;-;2;-;7;-;4;-;1;-;10;Gostaria de ter mais oportunidades de participar de projetos estratégicos.
Demo 116;demo116@pinpeople.com.br;demo116@pinpeople.com.br;administrativo;coordenador;profissional;brasília;mais de 5 anos;feminino;geração y;empresa;diretoria b;gerência b1;coordenação b11;área b112;20/01/2022;7;-;6;-;6;-;7;-;5;Gostaria de receber mais orientações estratégicas do meu gestor.;7;-;5;-;10;A cultura da empresa promove a inovação e a melhoria contínua.
Demo 117;demo117@pinpeople.com.br;demo117@pinpeople.com.br;comercial;coordenador;profissional;porto alegre;mais de 5 anos;outro;geração y;empresa;diretoria b;gerência b1;coordenação b11;área b112;20/01/2022;1;-;6;-;7;-;5;-;4;-;6;-;5;-;9;Sinto que meu trabalho é impactante e significativo.
Demo 118;demo118@pinpeople.com.br;demo118@pinpeople.com.br;financeiro;gerente;gestor;porto alegre;mais de 5 anos;feminino;geração x;empresa;diretoria b;gerência b1;coordenação b11;área b112;20/01/2022;7;-;7;-;7;-;5;-;7;-;2;-;2;-;7;A empresa oferece benefícios competitivos e atrativos.
Demo 119;demo119@pinpeople.com.br;demo119@pinpeople.com.br;recursos humanos;gerente;gestor;porto alegre;entre 1 e 2 anos;masculino;geração x;empresa;diretoria b;gerência b1;coordenação b11;área b112;20/01/2022;6;-;6;-;6;-;3;-;5;-;6;-;7;-;10;Gostaria de ver mais iniciativas para melhorar o bem-estar dos funcionários.
Demo 120;demo120@pinpeople.com.br;demo120@pinpeople.com.br;tecnologia;coordenador;gestor;porto alegre;menos de 1 ano;outro;geração y;empresa;diretoria b;gerência b1;coordenação b11;área b112;20/01/2022;3;-;6;-;6;-;7;-;2;-;6;-;4;Minha decisão de permanecer está ligada ao reconhecimento do meu trabalho.;6;A liderança é inspiradora e motivadora.
Demo 121;demo121@pinpeople.com.br;demo121@pinpeople.com.br;administrativo;estagiário;profissional;recife;mais de 5 anos;masculino;geração z;empresa;diretoria b;gerência b1;coordenação b11;área b112;20/01/2022;6;-;6;-;6;-;4;-;6;-;7;-;5;-;10;Sinto que há falta de oportunidades de crescimento na minha área.
Demo 122;demo122@pinpeople.com.br;demo122@pinpeople.com.br;comercial;estagiário;profissional;manaus;menos de 1 ano;feminino;geração z;empresa;diretoria b;gerência b1;coordenação b11;área b112;20/01/2022;2;-;6;-;6;-;1;-;4;-;1;Sinto que meu crescimento está estagnado.;4;-;2;A empresa promove um ambiente de trabalho saudável e positivo.
Demo 123;demo123@pinpeople.com.br;demo123@pinpeople.com.br;financeiro;analista;profissional;manaus;mais de 5 anos;feminino;geração z;empresa;diretoria b;gerência b1;coordenação b11;área b112;20/01/2022;6;-;7;-;5;-;7;Sinto que o feedback é essencial para meu crescimento.;3;-;3;-;2;-;8;Gostaria de ter mais clareza nas expectativas de carreira.
Demo 124;demo124@pinpeople.com.br;demo124@pinpeople.com.br;recursos humanos;analista;profissional;porto alegre;mais de 5 anos;outro;geração z;empresa;diretoria b;gerência b1;coordenação b11;área b112;20/01/2022;7;-;7;-;2;-;3;-;5;-;4;-;1;-;10;A cultura de feedback é forte e construtiva.
Demo 125;demo125@pinpeople.com.br;demo125@pinpeople.com.br;tecnologia;analista;profissional;brasília;menos de 1 ano;outro;geração z;empresa;diretoria b;gerência b1;coordenação b12;área b121;20/01/2022;3;-;6;-;7;-;7;-;6;-;5;-;1;-;4;Sinto que a comunicação interna poderia ser mais eficaz.
Demo 126;demo126@pinpeople.com.br;demo126@pinpeople.com.br;administrativo;analista;profissional;são paulo;entre 2 e 5 anos;feminino;geração z;empresa;diretoria b;gerência b1;coordenação b11;área b112;20/01/2022;6;-;7;-;7;-;7;-;4;-;1;-;5;-;9;A empresa oferece boas oportunidades de desenvolvimento profissional.
Demo 127;demo127@pinpeople.com.br;demo127@pinpeople.com.br;comercial;coordenador;profissional;brasília;entre 1 e 2 anos;feminino;geração y;empresa;diretoria b;gerência b1;coordenação b12;área b121;20/01/2022;6;-;6;-;5;-;7;-;5;Sinto que meu gestor não está ciente dos desafios que enfrento.;4;-;2;-;8;Gostaria de ver mais reconhecimento pelo trabalho bem feito.
Demo 128;demo128@pinpeople.com.br;demo128@pinpeople.com.br;financeiro;coordenador;profissional;porto alegre;mais de 5 anos;masculino;geração y;empresa;diretoria b;gerência b1;coordenação b12;área b121;20/01/2022;7;-;6;-;6;-;4;-;7;-;3;-;2;-;8;A liderança demonstra compromisso com o sucesso da equipe.
Demo 129;demo129@pinpeople.com.br;demo129@pinpeople.com.br;recursos humanos;coordenador;profissional;brasília;menos de 1 ano;masculino;geração y;empresa;diretoria b;gerência b1;coordenação b12;área b121;20/01/2022;6;-;7;-;6;-;7;Gostaria que houvesse um sistema formal de feedback.;4;-;1;-;5;-;8;Sinto que há pouca inovação nos projetos atuais.
Demo 130;demo130@pinpeople.com.br;demo130@pinpeople.com.br;tecnologia;gerente;gestor;são paulo;entre 2 e 5 anos;outro;baby boomer;empresa;diretoria b;gerência b1;coordenação b12;área b121;20/01/2022;7;-;6;-;6;-;5;-;4;-;3;-;2;-;10;A empresa valoriza a diversidade e a inclusão.
Demo 131;demo131@pinpeople.com.br;demo131@pinpeople.com.br;administrativo;gerente;gestor;brasília;menos de 1 ano;masculino;geração y;empresa;diretoria b;gerência b1;coordenação b12;área b121;20/01/2022;3;-;7;Acredito que a colaboração é chave para o sucesso da equipe.;6;-;7;-;2;-;4;-;6;Pretendo avaliar minhas opções nos próximos meses.;9;Gostaria de ter mais oportunidades de liderar iniciativas.
Demo 132;demo132@pinpeople.com.br;demo132@pinpeople.com.br;comercial;gerente;gestor;porto alegre;entre 2 e 5 anos;feminino;baby boomer;empresa;diretoria b;gerência b1;coordenação b12;área b121;20/01/2022;7;-;6;Gostaria de participar mais de decisões estratégicas.;1;-;5;-;6;-;7;-;6;-;2;A cultura da empresa promove o equilíbrio entre vida pessoal e profissional.
Demo 133;demo133@pinpeople.com.br;demo133@pinpeople.com.br;financeiro;estagiário;profissional;recife;entre 2 e 5 anos;masculino;geração z;empresa;diretoria b;gerência b1;coordenação b12;área b121;20/01/2022;4;Tenho interesse em cargos que envolvam inovação tecnológica.;7;-;7;-;7;-;4;-;2;-;6;-;9;Sinto que há falta de suporte para meu desenvolvimento profissional.
Demo 134;demo134@pinpeople.com.br;demo134@pinpeople.com.br;recursos humanos;estagiário;profissional;são paulo;mais de 5 anos;outro;geração z;empresa;diretoria b;gerência b1;coordenação b12;área b121;20/01/2022;7;-;7;-;6;-;5;Gostaria de mais oportunidades para discutir meu desempenho.;7;-;4;-;4;-;3;A empresa valoriza a transparência e a honestidade.
Demo 135;demo135@pinpeople.com.br;demo135@pinpeople.com.br;tecnologia;analista;profissional;recife;entre 1 e 2 anos;outro;geração z;empresa;diretoria b;gerência b1;coordenação b12;área b121;20/01/2022;7;-;7;-;6;-;7;-;7;Meu gestor apoia meu desenvolvimento profissional.;2;-;4;-;2;Gostaria de ter mais clareza sobre as oportunidades de promoção.
Demo 136;demo136@pinpeople.com.br;demo136@pinpeople.com.br;administrativo;analista;profissional;brasília;menos de 1 ano;outro;geração z;empresa;diretoria b;gerência b1;coordenação b12;área b122;20/01/2022;6;-;6;-;6;-;7;-;4;-;6;-;4;-;6;A liderança incentiva a criatividade e a inovação.
Demo 137;demo137@pinpeople.com.br;demo137@pinpeople.com.br;comercial;analista;profissional;são paulo;mais de 5 anos;outro;geração z;empresa;diretoria b;gerência b1;coordenação b12;área b121;20/01/2022;7;-;7;-;5;-;7;-;5;-;2;-;2;-;8;Sinto que meu trabalho é reconhecido e valorizado.
Demo 138;demo138@pinpeople.com.br;demo138@pinpeople.com.br;financeiro;analista;profissional;manaus;entre 2 e 5 anos;masculino;geração z;empresa;diretoria b;gerência b1;coordenação b12;área b121;20/01/2022;3;-;7;-;5;-;6;-;7;-;7;-;1;-;7;A empresa oferece bons programas de saúde e bem-estar.
Demo 139;demo139@pinpeople.com.br;demo139@pinpeople.com.br;recursos humanos;coordenador;profissional;recife;mais de 5 anos;outro;geração y;empresa;diretoria b;gerência b1;coordenação b12;área b121;20/01/2022;7;-;6;-;3;-;4;-;4;-;3;-;7;-;5;Gostaria de ver mais iniciativas de responsabilidade social corporativa.
Demo 140;demo140@pinpeople.com.br;demo140@pinpeople.com.br;tecnologia;coordenador;profissional;manaus;menos de 1 ano;feminino;geração y;empresa;diretoria b;gerência b1;coordenação b12;área b122;20/01/2022;7;-;6;Sinto que minha colaboração fortalece a equipe.;6;-;7;-;7;-;2;-;4;-;7;A comunicação entre equipes é eficiente e colaborativa.
Demo 141;demo141@pinpeople.com.br;demo141@pinpeople.com.br;administrativo;coordenador;profissional;brasília;menos de 1 ano;feminino;geração y;empresa;diretoria b;gerência b1;coordenação b12;área b122;20/01/2022;6;-;3;-;1;-;5;-;7;-;5;A empresa poderia oferecer mais transparência nas oportunidades internas.;7;-;4;Sinto que a carga de trabalho está afetando minha saúde mental.
Demo 142;demo142@pinpeople.com.br;demo142@pinpeople.com.br;comercial;gerente;gestor;manaus;entre 2 e 5 anos;masculino;geração y;empresa;diretoria b;gerência b1;coordenação b12;área b122;20/01/2022;7;-;5;-;7;A empresa incentiva meu desenvolvimento contínuo.;3;-;7;-;3;-;6;-;10;A empresa valoriza e respeita as contribuições individuais.
Demo 143;demo143@pinpeople.com.br;demo143@pinpeople.com.br;financeiro;gerente;gestor;manaus;menos de 1 ano;outro;geração y;empresa;diretoria b;gerência b1;coordenação b12;área b122;20/01/2022;6;-;7;-;7;Acredito que mentorias poderiam ajudar no meu desenvolvimento.;5;-;3;-;2;-;4;-;8;Gostaria de ver mais oportunidades de treinamento e desenvolvimento.
Demo 144;demo144@pinpeople.com.br;demo144@pinpeople.com.br;recursos humanos;diretor;gestor;manaus;entre 2 e 5 anos;feminino;baby boomer;empresa;diretoria b;gerência b1;coordenação b12;área b122;20/01/2022;6;-;7;-;6;-;7;-;6;Gostaria de ter feedbacks mais específicos sobre meu trabalho.;5;-;4;-;6;A liderança demonstra empatia e compreensão.
Demo 145;demo145@pinpeople.com.br;demo145@pinpeople.com.br;tecnologia;estagiário;profissional;recife;mais de 5 anos;masculino;geração z;empresa;diretoria b;gerência b1;coordenação b12;área b122;20/01/2022;7;-;6;-;6;-;5;O feedback recebido me motiva a buscar melhores resultados.;5;-;2;-;5;Vejo meu futuro profissional sendo construído nesta empresa.;8;Sinto que há pouca transparência nas decisões corporativas.
Demo 146;demo146@pinpeople.com.br;demo146@pinpeople.com.br;administrativo;estagiário;profissional;brasília;mais de 5 anos;feminino;geração z;empresa;diretoria b;gerência b1;coordenação b12;área b122;20/01/2022;6;-;7;-;2;Estou satisfeito com os recursos disponíveis para desenvolvimento.;7;-;1;-;7;-;3;-;9;A empresa oferece um ambiente de trabalho inclusivo e diversificado.
Demo 147;demo147@pinpeople.com.br;demo147@pinpeople.com.br;comercial;analista;profissional;porto alegre;mais de 5 anos;outro;geração z;empresa;diretoria b;gerência b1;coordenação b12;área b122;20/01/2022;6;-;7;Sinto que minhas ideias inovadoras são valorizadas.;7;-;7;-;5;-;6;-;2;-;10;Gostaria de ter mais oportunidades de participar de projetos estratégicos.
Demo 148;demo148@pinpeople.com.br;demo148@pinpeople.com.br;financeiro;analista;profissional;recife;entre 2 e 5 anos;masculino;geração z;empresa;diretoria b;gerência b1;coordenação b12;área b122;20/01/2022;6;-;3;-;3;-;5;-;4;-;3;-;7;-;9;A cultura da empresa promove a inovação e a melhoria contínua.
Demo 149;demo149@pinpeople.com.br;demo149@pinpeople.com.br;recursos humanos;analista;profissional;brasília;mais de 5 anos;outro;geração z;empresa;diretoria b;gerência b1;coordenação b12;área b122;20/01/2022;6;-;7;-;7;-;4;-;5;-;7;-;1;-;3;Sinto que meu trabalho é impactante e significativo.
Demo 150;demo150@pinpeople.com.br;demo150@pinpeople.com.br;tecnologia;analista;profissional;porto alegre;mais de 5 anos;masculino;geração z;empresa;diretoria b;gerência b1;coordenação b12;área b122;20/01/2022;7;-;7;-;7;-;5;-;6;-;5;-;6;-;4;A empresa oferece benefícios competitivos e atrativos.
Demo 151;demo151@pinpeople.com.br;demo151@pinpeople.com.br;administrativo;coordenador;profissional;são paulo;mais de 5 anos;outro;geração y;empresa;diretoria b;gerência b2;coordenação b21;área b211;20/01/2022;4;-;7;Acredito que minha experiência é um diferencial.;5;-;5;-;5;-;4;-;1;-;10;Gostaria de ver mais iniciativas para melhorar o bem-estar dos funcionários.
Demo 152;demo152@pinpeople.com.br;demo152@pinpeople.com.br;comercial;coordenador;profissional;são paulo;entre 1 e 2 anos;outro;geração y;empresa;diretoria b;gerência b2;coordenação b21;área b211;20/01/2022;6;-;7;-;4;-;6;-;6;-;3;-;1;-;8;A liderança é inspiradora e motivadora.
Demo 153;demo153@pinpeople.com.br;demo153@pinpeople.com.br;financeiro;coordenador;profissional;brasília;entre 1 e 2 anos;outro;geração y;empresa;diretoria b;gerência b2;coordenação b21;área b211;20/01/2022;7;-;3;Estou empenhado em melhorar processos e aumentar a eficiência.;6;-;7;-;7;Sinto que meu gestor valoriza minhas contribuições.;6;-;5;-;8;Sinto que há falta de oportunidades de crescimento na minha área.
Demo 154;demo154@pinpeople.com.br;demo154@pinpeople.com.br;recursos humanos;gerente;gestor;porto alegre;entre 2 e 5 anos;masculino;geração x;empresa;diretoria b;gerência b2;coordenação b21;área b211;20/01/2022;7;-;7;-;6;-;7;-;2;-;5;-;1;-;9;A empresa promove um ambiente de trabalho saudável e positivo.
Demo 155;demo155@pinpeople.com.br;demo155@pinpeople.com.br;tecnologia;gerente;gestor;brasília;mais de 5 anos;feminino;geração x;empresa;diretoria b;gerência b2;coordenação b21;área b211;20/01/2022;7;-;7;-;1;-;5;-;7;-;6;-;1;-;8;Gostaria de ter mais clareza nas expectativas de carreira.
